sgRNA	Gene	D0R1	D0R2	IVR1	IVR2	XENOR1	XENOR2	XENOR3	XENOR4	XENOR5
LDB1_6341	LDB1	7088	9400	947	914	416	9	9	0	13
TAF6L_10744	TAF6L	4491	4748	664	173	298	0	0	0	5
KDM1A_5864	KDM1A	7117	8586	856	567	0	0	18	0	1
CTRL0075_2713	CTRL0075	2760	2532	1168	888	380	1500	5922	66	45
POLB_8410	POLB	2179	2780	338	100	71	0	0	9	459
MAP4_6540	MAP4	7530	9988	769	422	0	2	32	0	22
JAK3_5391	JAK3	243	181	1454	824	627	8	3	738	1
SLC52A2_10211	SLC52A2	159	90	683	212	7	1	5	4522	105
ITGB7_5331	ITGB7	294	212	251	155	7	68	715	5	0
MMP2_7028	MMP2	1582	1653	491	303	0	0	78	0	0
CRTC2_2557	CRTC2	2560	2649	251	341	0	129	0	0	3
AR_814	AR	1947	2663	1019	800	13	3	8437	12	738
SSTR2_10476	SSTR2	7236	7288	908	798	8	2	7	0	1
KCNQ1_5799	KCNQ1	74	51	1067	1252	26	125	309	1	1
HDAC7_4634	HDAC7	22	1	775	324	223	23	524	5	2
ELP3_3146	ELP3	3259	3829	846	780	12	44	1	318	0
KCNJ12_5733	KCNJ12	4288	4190	143	132	0	2	0	21	0
CREBBP_2545	CREBBP	778	755	406	230	6	0	0	0	0
SSTR2_10479	SSTR2	9749	9711	950	508	12	40	145	2	0
CSF3R_2579	CSF3R	3134	3358	724	364	430	0	6	1	1
TRIM16_11184	TRIM16	14125	14411	427	584	261	1	1	0	2
AAVS0037_37	AAVS	1102	858	1114	692	104	341	0	17	10
YTHDF2_12370	YTHDF2	276	228	332	852	7	11	35	1	641
SUV420H1_10569	SUV420H1	376	217	745	766	85	4	8	40	13
SIRT6_10044	SIRT6	4169	3435	720	397	1108	4	2	0	0
C9orf114_1506	C9orf114	346	298	457	179	167	134	0	13	3
CD4_2035	CD4	52	54	428	162	197	2106	537	2	0
CYSLTR2_2823	CYSLTR2	2457	2106	415	335	0	22	876	31	1
RPS6KA5_9433	RPS6KA5	3855	3123	922	467	62	1	11	176	54
SLC12A2_10097	SLC12A2	1813	2094	534	576	546	32	1	10	2
WDR82_12126	WDR82	196	169	721	200	0	5	105	2	68
MGC16025_6901	MGC16025	2232	2448	508	230	211	0	34	370	0
PDGFRA_8132	PDGFRA	165	79	982	317	256	0	7	0	1
PHF2_8229	PHF2	7641	8504	525	250	4	0	444	0	246
VRK1_12031	VRK1	6878	7359	842	524	2765	1	0	1	10
CSRP2BP_2595	CSRP2BP	819	785	1253	810	241	641	209	14	12
RXRB_9548	RXRB	1289	1649	1004	816	43	33	1526	237	390
KCNA3_5564	KCNA3	205	191	223	277	65	0	94	1	0
PDCD1LG2_8012	PDCD1LG2	2996	3216	1597	1570	194	97	39	83	93
FCGR2C_3584	FCGR2C	1515	2146	481	82	126	32	319	1	1
YEATS2_12210	YEATS2	896	879	1006	552	177	7	79	1596	44
PTGS2_9022	PTGS2	791	1142	600	719	0	6	50	3	0
PGF_8184	PGF	6497	7135	882	690	15	33	20	0	0
ITGA4_5286	ITGA4	509	680	852	553	2182	142	30	3813	0
DRD4_3018	DRD4	21	0	307	286	0	0	21	0	3
GLRA2_4250	GLRA2	2175	2719	1830	827	2360	1208	426	4	2
HDAC9_4651	HDAC9	1803	1868	836	607	14	61	86	2	2714
KDM3A_5978	KDM3A	2560	2818	693	354	0	29	0	26	0
YTHDC2_12301	YTHDC2	1301	1929	1275	1025	1199	683	59	5	223
BRCA2_1220	BRCA2	50	24	1306	146	0	66	55	1	100
FGF2_3661	FGF2	365	500	179	291	93	3537	0	6	2
SIRT2_10014	SIRT2	4969	6835	548	621	0	2	9	23	1712
GABRB3_4021	GABRB3	575	846	900	533	0	0	1	8	2
METTL4_6860	METTL4	8997	7741	1468	925	25	58	304	1	806
BRMS1_1348	BRMS1	617	797	1083	844	50	291	0	3	4
RSAD1_9483	RSAD1	450	748	1165	630	49	3	99	1	67
C9orf114_1522	C9orf114	1690	2018	292	200	1236	1	1	0	0
FXYD2_3906	FXYD2	45	1	564	90	0	0	0	0	1
EPHA2_3238	EPHA2	1938	1965	20	180	0	0	0	0	0
RARG_9119	RARG	685	612	613	174	3	172	0	0	0
POLA1_8397	POLA1	648	736	16	0	8	6	0	0	1
SYT2_10607	SYT2	1137	913	544	212	0	0	102	123	266
LCK_6336	LCK	9	0	815	552	5	0	0	100	34
SCNN1G_9777	SCNN1G	1140	1182	496	477	0	0	9	0	1
PPM1F_8510	PPM1F	1614	1223	940	561	106	95	0	0	165
EZH1_3355	EZH1	61	40	569	255	7	5	0	0	0
ALKBH5_543	ALKBH5	38	2	927	349	0	35	9	3569	28
SRD5A2_10459	SRD5A2	2609	2629	1092	535	62	7	0	0	21
AAVS0049_49	AAVS	450	659	430	374	43	108	0	0	20
BRD4_1312	BRD4	445	404	132	135	6	15	236	0	9
PPARG_8501	PPARG	639	900	338	291	0	12	94	4	1
BCR_1137	BCR	6203	6432	554	404	188	5	183	216	1
PLA2G1B_8268	PLA2G1B	1642	1712	284	88	0	0	1	0	0
KCNK9_5768	KCNK9	1044	956	1083	571	12	103	12	8	3216
VKORC1_12006	VKORC1	1001	1220	622	174	5	66	9	0	5
YTHDF3_12423	YTHDF3	528	752	471	487	17	1	47	4	2
MS4A2_7242	MS4A2	666	455	455	1082	9	0	89	81	6
HCAR3_4514	HCAR3	3308	3456	1103	662	191	2	1	1	371
MGC16025_6905	MGC16025	428	375	957	480	0	4	404	2	0
MAVS_6635	MAVS	24	26	967	865	39	17986	0	19	40
PRKCB_8676	PRKCB	859	1009	1216	435	6	133	6	4	18
TBL1X_10786	TBL1X	1163	1293	1278	769	7298	183	1	1	631
FDPS_3618	FDPS	848	888	520	75	0	0	0	0	24
AR_826	AR	1916	2171	1302	578	37	1	3791	27916	205
PDCD1LG2_8007	PDCD1LG2	720	990	867	643	1274	22	66	16	36
FADS1_3486	FADS1	2213	2718	335	77	0	48	7	10	142
SUZ12_10586	SUZ12	372	276	139	17	0	2	0	0	0
MRGBP_7206	MRGBP	864	1036	971	976	68	326	0	1040	1
F7_3454	F7	20	37	607	480	4	0	30	472	0
GABRR1_4100	GABRR1	1904	1793	180	423	0	1	0	1	0
GTF3C4_4449	GTF3C4	25	3	947	383	0	159	6	4	11
KDM6B_6071	KDM6B	1984	2118	310	70	4	0	0	0	0
TRRAP_11555	TRRAP	225	230	1259	772	168	0	2364	5	284
QPRT_9041	QPRT	554	506	913	729	82	159	38	1	1
